Minimálne koľko zvitkov náhradného prúžka alebo tachografového krúžka musí mať rušňovodič pri nástupe do služby na vozidlo, ktoré je vybavené mechanickým registračným rýchlomerom?|jeden zvitok náhradného prúžka alebo tachografového krúžku|ani jeden|aspoň 3
Pred jazdou ŽV s mechanickým registračným rýchlomerom je rušňovodič povinný nastaviť na hodinách presný čas?|áno|nie|len ak bol na to upozornený odchádzajúcim kolegom
Je rušňovodič povinný pred jazdou ŽV s mechanickým registračným rýchlomerom natiahnuť hodinový mechanizmus rýchlomera?|áno|nie|len ak bol na to upozornený odchádzajúcim kolegom
Je rušňovodič povinný pred jazdou ŽV s mechanickým registračným rýchlomerom presvedčiť sa o dostatočnej zásobe záznamového média na uvažovanú jazdu?|áno|nie|len ak bol na to upozornený odchádzajúcim kolegom
Je rušňovodič povinný pred jazdou ŽV s mechanickým registračným rýchlomerom skontrolovať bezchybnosť posuvu záznamového média?|áno|len ak bol na to upozornený odchádzajúcim kolegom|nie
Je rušňovodič povinný pred jazdou ŽV s mechanickým registračným rýchlomerom skontrolovať funkčnosť registrácie písadlami?|áno|nie|len ak bol na to upozornený odchádzajúcim kolegom
Na nedostatočnú zásobu rýchlomerového prúžka v prevádzke je rušňovodič upozornený:|farebnou značkou na prúžku, ktorá sa objaví v priehľadnom okienku|zvukovým zariadením rýchlomera|zastavením železničného vozidla
Keď sa počas prevádzky pretrhne rýchlomerový prúžok rušňovodič:|odovzdá jeho všetky časti|nerobí žiadne opatrenia|zlepí ich sekundovým lepidlom a tak ich odovzdá určenému zamestnancovi
Kontrola rýchlomerových prúžkov sa vykonáva:|náhodne|len po nehode|pravidelne
Záznamy z elektronického rýchlomera sa archivujú:|5 rokov|1 rok|10 rokov
Môže rušňovodič v prípade nehody manipulovať s rýchlomerom?|nie|áno|áno, ale len pri prevádzkových poruchách
Ktoré brzdové klátiky sa kontrolujú pri skúške zaisťovacej brzdy?|všetky klátiky (brzdové obloženia) na všetkých dvojkolesiach prislúchajúcich k zaisťovacej brzde z kontrolovanej strany vozňa|na ľubovoľnom klátiku z kontrolovanej strany vozňa|všetky klátiky (brzdové obloženia) na všetkých dvojkolesiach z oboch strán vozňa
